kk;pv;h;;"Ulkoilma
lämpöt.
°C";"Ulkoilma
absol.
kosteus
g/kg";"Ulkoilma
suht.
kosteus
%";"Ulkoilma
entalpia
kJ/kg";"Lämmitys
tiloissa
W";"Lämmitys
IV-kone
W";"Lämmitys
IV-kone
(ei LTO:ta)
W";"Jäähdytys
tiloissa
W";"Jäähdytys
tiloissa
(ei vapaajäähd.)
W";"Jäähdytys
IV-kone
W";"Puhallin-
sähkö
W";"Tuloilma-
virta
m³/s";IV-pyörimisnopeus
1;1;1;ma;-7,8;1,7;81,1;-3,62;56990;0;0;0;0;0;1352;0,9;75
1;1;2;ma;-8,3;1,7;84,4;-4,124;57784;0;0;0;0;0;1352;0,9;75
1;1;3;ma;-8,9;1,6;83,3;-4,978;58767;0;0;0;0;0;1352;0,9;75
1;1;4;ma;-9,4;1,5;81,3;-5,731;59715;0;0;0;0;0;1352;0,9;75
1;1;5;ma;-9,4;1,5;81,3;-5,731;59729;0;0;0;0;0;1352;0,9;75
1;1;6;ma;-10;1,5;85,3;-6,336;60575;0;0;0;0;0;1352;0,9;75
1;1;7;ma;-10;1,5;85,3;-6,336;60644;0;0;0;0;0;1352;0,9;75
1;1;8;ma;-10;1,5;85,3;-6,336;60567;0;0;0;0;0;1352;0,9;75
1;1;9;ma;-10;1,5;85,3;-6,336;60559;0;0;0;0;0;1352;0,9;75
1;1;10;ma;-10;1,5;85,3;-6,336;60557;0;0;0;0;0;1352;0,9;75
1;1;11;ma;-9,4;1,5;81,3;-5,731;59640;0;0;0;0;0;1352;0,9;75
1;1;12;ma;-9,4;1,6;86,7;-5,483;59554;0;0;0;0;0;1352;0,9;75
1;1;13;ma;-8,9;1,6;83,3;-4,978;58697;0;0;0;0;0;1352;0,9;75
1;1;14;ma;-8,9;1,7;88,5;-4,73;58613;0;0;0;0;0;1352;0,9;75
1;1;15;ma;-8,9;1,7;88,5;-4,73;58664;0;0;0;0;0;1352;0,9;75
